R,Key.enter,1719250204805035000
P,Key.shift,1719250224680682000
P,'C',1719250224922714000
R,Key.shift,1719250224984654000
R,'c',1719250225007827000
P,'o',1719250225081374000
R,'o',1719250225141686000
P,'a',1719250225214224000
R,'a',1719250225322742000
P,'c',1719250225461584000
R,'c',1719250225564244000
P,'h',1719250225566983000
R,'h',1719250225655090000
P,Key.space,1719250225716822000
R,Key.space,1719250225812947000
P,'c',1719250225878828000
R,'c',1719250225970437000
P,'a',1719250226085187000
R,'a',1719250226181058000
P,'r',1719250226507743000
R,'r',1719250226565910000
P,'t',1719250226667520000
R,'t',1719250226742356000
P,'e',1719250226798630000
R,'e',1719250226900875000
P,'r',1719250226911409000
R,'r',1719250227006432000
P,'-',1719250232383140000
R,'-',1719250232449915000
P,Key.space,1719250232613383000
R,Key.space,1719250232711396000
P,Key.shift,1719250232932857000
P,'C',1719250233198113000
R,Key.shift,1719250233272263000
R,'c',1719250233288717000
P,'o',1719250233406346000
R,'o',1719250233487466000
P,'a',1719250233621730000
R,'a',1719250233720725000
P,'c',1719250234990408000
R,'c',1719250235088949000
P,'h',1719250235165224000
R,'h',1719250235273593000
P,Key.space,1719250235356507000
R,Key.space,1719250235444708000
P,'c',1719250235744946000
R,'c',1719250235820202000
P,'o',1719250235835275000
R,'o',1719250235899488000
P,'m',1719250236022859000
R,'m',1719250236088338000
P,'p',1719250236204110000
R,'p',1719250236258702000
P,'o',1719250236345672000
R,'o',1719250236417512000
P,'s',1719250236483910000
R,'s',1719250236572465000
P,'e',1719250236691230000
R,'e',1719250236777691000
P,'d',1719250236907483000
R,'d',1719250237000365000
P,Key.space,1719250237080437000
R,Key.space,1719250237195282000
P,'f',1719250237780961000
R,'f',1719250237886227000
P,'i',1719250237964786000
R,'i',1719250238033651000
P,'r',1719250238073051000
R,'r',1719250238169407000
P,'m',1719250238213603000
R,'m',1719250238316815000
P,Key.space,1719250238366601000
R,Key.space,1719250238479409000
P,'h',1719250239017183000
R,'h',1719250239075613000
P,'a',1719250239139221000
P,'n',1719250239229306000
R,'a',1719250239250461000
R,'n',1719250239295511000
P,'d',1719250239417605000
R,'d',1719250239504779000
P,'l',1719250239505153000
R,'l',1719250239573777000
P,'i',1719250239698458000
R,'i',1719250239766888000
P,'n',1719250239880526000
R,'n',1719250239953528000
P,'g',1719250240012013000
R,'g',1719250240095130000
P,Key.space,1719250240158195000
R,Key.space,1719250240240648000
P,'o',1719250240438170000
R,'o',1719250240494616000
P,'f',1719250240704522000
R,'f',1719250240808078000
P,Key.space,1719250240828868000
R,Key.space,1719250240939873000
P,'t',1719250240971081000
P,'h',1719250241090926000
R,'t',1719250241091592000
R,'h',1719250241171936000
P,'e',1719250241254782000
R,'e',1719250241379224000
P,Key.space,1719250241381426000
R,Key.space,1719250241481629000
P,'s',1719250241699494000
R,'s',1719250241798837000
P,'i',1719250241854997000
R,'i',1719250241938826000
P,'t',1719250242080697000
R,'t',1719250242173555000
P,'u',1719250242221243000
R,'u',1719250242279602000
P,'a',1719250242414082000
R,'a',1719250242522643000
P,'t',1719250242765315000
R,'t',1719250242830317000
P,'i',1719250242855741000
R,'i',1719250242929001000
P,'o',1719250243033375000
R,'o',1719250243099131000
P,'n',1719250243230133000
R,'n',1719250243317062000
P,Key.space,1719250244401975000
R,Key.space,1719250244486712000
P,'c',1719250244740425000
R,'c',1719250244823814000
P,'l',1719250244915000000
R,'l',1719250245014144000
P,'a',1719250245056379000
R,'a',1719250245148447000
P,'r',1719250245287016000
R,'r',1719250245363242000
P,'i',1719250245425920000
R,'i',1719250245502655000
P,'f',1719250245720747000
R,'f',1719250245797262000
