R,Key.enter,1724504608039935000
P,Key.ctrl,1724504618796208000
R,Key.ctrl,1724504619289653000
P,Key.shift,1724504635356591000
P,'C',1724504637450466000
R,Key.shift,1724504637581407000
R,'c',1724504637594074000
P,'a',1724504637901159000
R,'a',1724504638003455000
P,'r',1724504638777150000
R,'r',1724504638844120000
P,'t',1724504638933886000
R,'t',1724504639036466000
P,'e',1724504639136981000
R,'e',1724504639217328000
P,'r',1724504639295048000
R,'r',1724504639385556000
P,Key.space,1724504641545637000
R,Key.space,1724504641679689000
P,Key.shift_r,1724504642061126000
P,'(',1724504642425294000
R,'(',1724504642513271000
R,Key.shift_r,1724504642535026000
P,'2',1724504642782504000
R,'2',1724504642871975000
P,'0',1724504643013644000
R,'0',1724504643049707000
P,'0',1724504643231277000
R,'0',1724504643242000000
P,'5',1724504643917165000
R,'5',1724504644043047000
P,Key.shift_r,1724504644131686000
P,')',1724504644334861000
R,')',1724504644473976000
R,Key.shift_r,1724504644479229000
P,Key.space,1724504644651393000
R,Key.space,1724504644784357000
P,Key.shift,1724504645235596000
R,Key.shift,1724504645982860000
P,'v',1724504646296070000
R,'v',1724504646408779000
P,'i',1724504646609588000
R,'i',1724504646674867000
P,'d',1724504646880207000
R,'d',1724504646966293000
P,'e',1724504647102429000
R,'e',1724504647191526000
P,'o',1724504647841869000
R,'o',1724504647946784000
P,Key.space,1724504648025103000
R,Key.space,1724504648157585000
P,'m',1724504657231615000
R,'m',1724504657329907000
P,'e',1724504657473493000
R,'e',1724504657587043000
P,'s',1724504657996252000
R,'s',1724504658126193000
P,'s',1724504658263007000
R,'s',1724504658396275000
P,'a',1724504658825788000
R,'a',1724504658958134000
P,'g',1724504659060491000
R,'g',1724504659138630000
P,'e',1724504659232867000
R,'e',1724504659296942000
P,Key.space,1724504659362796000
R,Key.space,1724504659499084000
P,'i',1724504666314252000
R,'i',1724504666392997000
P,'s',1724504666540766000
R,'s',1724504666642635000
P,'n',1724504668095237000
R,'n',1724504668171519000
P,"""'""",1724504668600179000
R,"""'""",1724504668676724000
P,'t',1724504669039284000
R,'t',1724504669151559000
P,Key.space,1724504669255891000
R,Key.space,1724504669380483000
P,'j',1724504670366140000
R,'j',1724504670444363000
P,'u',1724504670568382000
R,'u',1724504670625851000
P,'s',1724504670703744000
R,'s',1724504670815760000
P,'t',1724504670850613000
R,'t',1724504670977649000
P,Key.space,1724504670978728000
R,Key.space,1724504671086263000
P,'f',1724504671221551000
R,'f',1724504671318333000
P,'o',1724504671320160000
R,'o',1724504671389002000
P,'r',1724504671458120000
P,Key.space,1724504671582218000
R,'r',1724504671593898000
R,Key.space,1724504671693954000
P,'t',1724504671772110000
R,'t',1724504671897336000
P,'h',1724504671907076000
R,'h',1724504671998735000
